source	web_link
nidānuddeso	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/nidānuddeso/nidānuddeso.html
pārājikuddeso	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/pārājikuddeso/pārājikuddeso.html
methunadhamma sikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/methunadhamma sikkhāpadaṃ/methunadhamma sikkhāpadaṃ.html
adinnādānasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/adinnādānasikkhāpadaṃ/adinnādānasikkhāpadaṃ.html
manussaviggahasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/manussaviggahasikkhāpadaṃ/manussaviggahasikkhāpadaṃ.html
uttarimanussadhammasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/uttarimanussadhammasikkhāpadaṃ/uttarimanussadhammasikkhāpadaṃ.html
saṅghādisesuddeso	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/saṅghādisesuddeso/saṅghādisesuddeso.html
sukkavissaṭṭhisikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/sukkavissaṭṭhisikkhāpadaṃ/sukkavissaṭṭhisikkhāpadaṃ.html
kāyasaṃsaggasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/kāyasaṃsaggasikkhāpadaṃ/kāyasaṃsaggasikkhāpadaṃ.html
duṭṭhullavācāsikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/duṭṭhullavācāsikkhāpadaṃ/duṭṭhullavācāsikkhāpadaṃ.html
attakāmapāricariyasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/attakāmapāricariyasikkhāpadaṃ/attakāmapāricariyasikkhāpadaṃ.html
sañcarittasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/sañcarittasikkhāpadaṃ/sañcarittasikkhāpadaṃ.html
kuṭikārasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/kuṭikārasikkhāpadaṃ/kuṭikārasikkhāpadaṃ.html
vihārakārasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/vihārakārasikkhāpadaṃ/vihārakārasikkhāpadaṃ.html
duṭṭhadosasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/duṭṭhadosasikkhāpadaṃ/duṭṭhadosasikkhāpadaṃ.html
aññabhāgiyasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/aññabhāgiyasikkhāpadaṃ/aññabhāgiyasikkhāpadaṃ.html
saṅghabhedasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/saṅghabhedasikkhāpadaṃ/saṅghabhedasikkhāpadaṃ.html
bhedānuvattakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/bhedānuvattakasikkhāpadaṃ/bhedānuvattakasikkhāpadaṃ.html
dubbacasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/dubbacasikkhāpadaṃ/dubbacasikkhāpadaṃ.html
kuladūsakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/kuladūsakasikkhāpadaṃ/kuladūsakasikkhāpadaṃ.html
saṅghādisesuddeso	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/saṅghādisesuddeso/saṅghādisesuddeso.html
aniyatuddeso	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/aniyatuddeso/aniyatuddeso.html
paṭhamaaniyatasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/paṭhamaaniyatasikkhāpadaṃ/paṭhamaaniyatasikkhāpadaṃ.html
dutiyāniyatasikkhāpada	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/dutiyāniyatasikkhāpada/dutiyāniyatasikkhāpada.html
nissaggiyapācittiyā	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/nissaggiyapācittiyā/nissaggiyapācittiyā.html
kathinasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/kathinasikkhāpadaṃ/kathinasikkhāpadaṃ.html
udositasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/udositasikkhāpadaṃ/udositasikkhāpadaṃ.html
akālacīvarasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/akālacīvarasikkhāpadaṃ/akālacīvarasikkhāpadaṃ.html
purāṇacīvarasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/purāṇacīvarasikkhāpadaṃ/purāṇacīvarasikkhāpadaṃ.html
cīvarapaṭiggahaṇasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/cīvarapaṭiggahaṇasikkhāpadaṃ/cīvarapaṭiggahaṇasikkhāpadaṃ.html
aññātakaviññattisikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/aññātakaviññattisikkhāpadaṃ/aññātakaviññattisikkhāpadaṃ.html
tatuttarisikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/tatuttarisikkhāpadaṃ/tatuttarisikkhāpadaṃ.html
paṭhamaupakkhaṭasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/paṭhamaupakkhaṭasikkhāpadaṃ/paṭhamaupakkhaṭasikkhāpadaṃ.html
dutiyaupakkhaṭasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/dutiyaupakkhaṭasikkhāpadaṃ/dutiyaupakkhaṭasikkhāpadaṃ.html
rājasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/rājasikkhāpadaṃ/rājasikkhāpadaṃ.html
kosiyasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/kosiyasikkhāpadaṃ/kosiyasikkhāpadaṃ.html
suddhakāḷakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/suddhakāḷakasikkhāpadaṃ/suddhakāḷakasikkhāpadaṃ.html
dvebhāgasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/dvebhāgasikkhāpadaṃ/dvebhāgasikkhāpadaṃ.html
chabbassasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/chabbassasikkhāpadaṃ/chabbassasikkhāpadaṃ.html
nisīdanasanthatasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/nisīdanasanthatasikkhāpadaṃ/nisīdanasanthatasikkhāpadaṃ.html
eḷakalomasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/eḷakalomasikkhāpadaṃ/eḷakalomasikkhāpadaṃ.html
eḷakalomadhovāpanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/eḷakalomadhovāpanasikkhāpadaṃ/eḷakalomadhovāpanasikkhāpadaṃ.html
rūpiyasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/rūpiyasikkhāpadaṃ/rūpiyasikkhāpadaṃ.html
rūpiyasaṃvohārasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/rūpiyasaṃvohārasikkhāpadaṃ/rūpiyasaṃvohārasikkhāpadaṃ.html
kayavikkayasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/kayavikkayasikkhāpadaṃ/kayavikkayasikkhāpadaṃ.html
pattasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/pattasikkhāpadaṃ/pattasikkhāpadaṃ.html
ūnapañcabandhanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/ūnapañcabandhanasikkhāpadaṃ/ūnapañcabandhanasikkhāpadaṃ.html
bhesajjasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/bhesajjasikkhāpadaṃ/bhesajjasikkhāpadaṃ.html
vassikasāṭikasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/vassikasāṭikasikkhāpadaṃ/vassikasāṭikasikkhāpadaṃ.html
cīvaraacchindanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/cīvaraacchindanasikkhāpadaṃ/cīvaraacchindanasikkhāpadaṃ.html
suttaviññattisikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/suttaviññattisikkhāpadaṃ/suttaviññattisikkhāpadaṃ.html
mahāpesakārasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/mahāpesakārasikkhāpadaṃ/mahāpesakārasikkhāpadaṃ.html
accekacīvarasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/accekacīvarasikkhāpadaṃ/accekacīvarasikkhāpadaṃ.html
sāsaṅkasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/sāsaṅkasikkhāpadaṃ/sāsaṅkasikkhāpadaṃ.html
pariṇatasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/pariṇatasikkhāpadaṃ/pariṇatasikkhāpadaṃ.html
pācittiyā	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/pācittiyā/pācittiyā.html
musāvādasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/musāvādasikkhāpadaṃ/musāvādasikkhāpadaṃ.html
omasavādasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/omasavādasikkhāpadaṃ/omasavādasikkhāpadaṃ.html
pesuññasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/pesuññasikkhāpadaṃ/pesuññasikkhāpadaṃ.html
padasodhammasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/padasodhammasikkhāpadaṃ/padasodhammasikkhāpadaṃ.html
paṭhamasahaseyyasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/paṭhamasahaseyyasikkhāpadaṃ/paṭhamasahaseyyasikkhāpadaṃ.html
